# file...... exercise_4_1_3.csv
# date...... Fri Jun 04 11:14:05 2010
# user...... fish334
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 60
# timestamp,trip_meter1:measured_real_power,trip_meter2:measured_real_power,trip_meter3:measured_real_power,trip_meter4:measured_real_power,trip_meter5:measured_real_power,trip_meter6:measured_real_power,trip_meter7:measured_real_power,trip_meter8:measured_real_power,trip_meter9:measured_real_power,trip_meter10:measured_real_power,trip_meter11:measured_real_power,trip_meter12:measured_real_power,trip_meter13:measured_real_power,trip_meter14:measured_real_power,trip_meter15:measured_real_power
2000-01-01 00:27:00 EST,+30123.7,+7926.77,+7939.3,+7719.49,+29189.7,+28099.5,+28790.8,+27629.8,+28857.6,+27840.2,+30308.4,+28710.8,+27992.8,+29772.7,+27934.7
2000-01-01 00:28:00 EST,+30123.7,+7926.77,+7939.3,+7719.49,+29189.7,+28099.5,+28790.8,+27629.8,+28857.6,+27840.2,+30308.4,+28710.8,+27992.8,+29772.7,+27934.7
2000-01-01 00:29:00 EST,+30123.7,+7926.77,+7939.3,+7719.49,+29189.7,+28099.5,+28790.8,+27629.8,+28857.6,+27840.2,+30308.4,+28710.8,+27992.8,+29772.7,+27934.7
2000-01-01 00:30:00 EST,+28919.4,+7627.3,+7637.82,+7427.1,+28009.8,+26966.9,+27627.9,+26516.8,+27691.6,+26713.1,+29082.6,+27560.5,+26859,+28567.7,+26814.4
2000-01-01 00:31:00 EST,+28919.4,+7627.3,+7637.82,+7427.1,+28009.8,+26966.9,+27627.9,+26516.8,+27691.6,+26713.1,+29082.6,+27560.5,+26859,+28567.7,+26814.4
2000-01-01 00:32:00 EST,+28919.4,+7627.3,+7637.82,+7427.1,+28009.8,+26966.9,+27627.9,+26516.8,+27691.6,+26713.1,+29082.6,+27560.5,+26859,+28567.7,+26814.4
2000-01-01 00:33:00 EST,+28919.4,+7627.3,+7637.82,+7427.1,+28009.8,+26966.9,+27627.9,+26516.8,+27691.6,+26713.1,+29082.6,+27560.5,+26859,+28567.7,+26814.4
2000-01-01 00:34:00 EST,+28904.6,+7627.18,+7638.09,+7426.54,+28013.2,+26960.2,+27631.2,+26510.2,+31267.5,+26710.3,+29089.4,+27546.6,+26856.2,+28574.4,+30391.9
2000-01-01 00:35:00 EST,+28904.6,+7627.18,+7638.09,+7426.54,+28013.2,+26960.2,+27631.2,+26510.2,+31267.5,+26710.3,+29089.4,+27546.6,+26856.2,+28574.4,+30391.9
2000-01-01 00:36:00 EST,+28904.6,+7627.18,+7638.09,+7426.54,+28013.2,+26960.2,+27631.2,+26510.2,+31267.5,+26710.3,+29089.4,+27546.6,+26856.2,+28574.4,+30391.9
2000-01-01 00:37:00 EST,+28904.6,+7627.18,+7638.09,+7426.54,+28013.2,+26960.2,+27631.2,+26510.2,+31267.5,+26710.3,+29089.4,+27546.6,+26856.2,+28574.4,+30391.9
2000-01-01 00:38:00 EST,+32389.1,+7627.62,+7637.65,+7426.85,+28007.7,+26963.9,+27625.9,+26513.9,+27699.7,+26720.3,+29078.3,+27554.3,+26866.2,+28563.4,+26808.4
2000-01-01 00:39:00 EST,+32389.1,+7627.62,+7637.65,+7426.85,+28007.7,+26963.9,+27625.9,+26513.9,+27699.7,+26720.3,+29078.3,+27554.3,+26866.2,+28563.4,+26808.4
2000-01-01 00:40:00 EST,+32386.7,+7627.33,+7637.89,+7426.78,+28010.7,+26963,+27628.9,+26513,+27692.9,+28966.8,+29084.6,+27552.7,+26859.6,+28569.5,+26806.6
2000-01-01 00:41:00 EST,+32386.7,+7627.33,+7637.89,+7426.78,+28010.7,+26963,+27628.9,+26513,+27692.9,+28966.8,+29084.6,+27552.7,+26859.6,+28569.5,+26806.6
2000-01-01 00:42:00 EST,+32396.9,+7627.16,+9457.25,+7427.25,+28000.3,+26968.1,+27618.6,+26518,+27689.4,+28963.7,+31778.6,+27560.8,+26856.2,+28554.8,+26814.2
2000-01-01 00:43:00 EST,+32386.8,+7627.54,+9457.24,+9573.47,+28000.3,+26960.5,+27618.5,+26510.5,+27692.9,+28967.2,+31778.6,+27552.9,+26859.6,+28554.8,+26806.6
2000-01-01 00:44:00 EST,+32395.1,+7627.73,+9456.64,+9573.77,+27993.7,+26963.7,+27612.1,+26513.6,+27697.2,+26718.5,+34055.2,+27559.2,+26863.8,+28541.7,+26812.9
2000-01-01 00:45:00 EST,+32372.7,+7628.29,+7637.4,+11354.3,+28004.6,+26949.5,+27622.8,+26499.7,+27704.3,+26725,+31363.2,+27541.8,+26870.6,+28556.8,+26796.1
2000-01-01 00:46:00 EST,+28917.4,+7627.52,+7637.52,+9244.84,+28006.2,+26962.9,+27624.4,+26512.8,+27692,+26713.7,+31367.2,+27558.7,+26859.3,+28560.6,+26812.5
2000-01-01 00:47:00 EST,+28912.6,+7627.62,+7637.81,+9244.64,+28009.7,+26960.7,+27627.8,+26510.7,+27694.6,+26715.9,+29082.5,+27554,+26861.8,+28567.6,+26808.1
2000-01-01 00:48:00 EST,+28919.4,+7627.3,+7637.82,+7427.1,+28009.8,+26966.9,+27627.9,+26516.8,+27691.6,+26713.1,+29082.6,+27560.5,+26859,+28567.7,+26814.4
2000-01-01 00:49:00 EST,+28907.9,+7627.35,+7638,+7426.67,+28012.1,+26961.8,+27630.2,+26511.7,+31154.4,+26714.3,+29087.3,+27549.9,+26860.2,+28572.3,+30302.9
2000-01-01 00:50:00 EST,+28907.9,+7627.35,+7638,+7426.67,+28012.1,+26961.8,+27630.2,+26511.7,+31154.4,+26714.3,+29087.3,+27549.9,+26860.2,+28572.3,+30302.9
2000-01-01 00:51:00 EST,+28895.2,+9767.55,+7638.25,+7426.02,+28014,+26951.3,+27631.9,+29172.5,+31155.6,+26715.2,+29088.4,+27537.8,+26861.1,+28573.4,+32952.7
2000-01-01 00:52:00 EST,+28895.2,+9767.55,+7638.25,+7426.02,+28014,+26951.3,+27631.9,+29172.5,+31155.6,+26715.2,+29088.4,+27537.8,+26861.1,+28573.4,+32952.7
2000-01-01 00:53:00 EST,+28904.9,+9767.2,+7637.49,+7426.51,+28001.6,+26958.2,+30724.1,+29180.1,+31148.9,+26710,+29074,+27547,+26855.9,+31686.4,+32964.3
2000-01-01 00:54:00 EST,+31571.2,+7626.83,+7637.12,+7426.97,+27995.5,+26967.1,+33406.9,+26518,+31143.8,+26705.6,+29073.7,+27551.6,+29517.6,+31686.2,+30304.9
2000-01-01 00:55:00 EST,+31571.2,+7626.83,+7637.12,+7426.97,+27995.5,+26967.1,+33406.9,+26518,+31143.8,+26705.6,+29073.7,+27551.6,+29517.6,+31686.2,+30304.9
2000-01-01 00:56:00 EST,+31571.2,+7626.83,+7637.12,+7426.97,+27995.5,+26967.1,+33406.9,+26518,+31143.8,+26705.6,+29073.7,+27551.6,+29517.6,+31686.2,+30304.9
2000-01-01 00:57:00 EST,+31567.6,+7627.65,+7637.38,+7426.69,+30279.7,+26962.6,+27620.5,+26512.6,+27701.9,+26722.6,+29075.2,+29803.8,+26868.4,+28560.2,+26802.2
2000-01-01 00:58:00 EST,+28902,+7627.9,+7637.3,+7426.37,+30278.3,+26956.1,+27618.9,+29177.3,+27704.3,+26725.4,+29074.2,+29799.6,+26871.3,+28559.1,+29466.4
2000-01-01 00:59:00 EST,+32367.6,+7628.21,+7637.13,+7426.12,+30276.2,+26953.1,+27616.9,+29174.3,+27712.5,+26732.7,+29069.8,+29793.3,+26878.5,+28554.9,+29460.1
