# file...... temperature.csv
# date...... Wed Dec 01 07:49:57 2010
# user...... D3P313
# host...... (null)
# target.... house 67
# trigger... (none)
# interval.. 60
# limit..... 100000
# timestamp,outdoor_temperature
2000-01-01 02:03:00 PST,+31.0273
2000-01-01 02:04:00 PST,+31.0612
2000-01-01 02:05:00 PST,+31.0945
2000-01-01 02:06:00 PST,+31.1272
2000-01-01 02:07:00 PST,+31.1593
2000-01-01 02:08:00 PST,+31.1908
2000-01-01 02:09:00 PST,+31.2217
2000-01-01 02:10:00 PST,+31.252
2000-01-01 02:11:00 PST,+31.2817
2000-01-01 02:12:00 PST,+31.3108
2000-01-01 02:13:00 PST,+31.3393
2000-01-01 02:14:00 PST,+31.3672
2000-01-01 02:15:00 PST,+31.3945
2000-01-01 02:16:00 PST,+31.4212
2000-01-01 02:17:00 PST,+31.4473
2000-01-01 02:18:00 PST,+31.4728
2000-01-01 02:19:00 PST,+31.4977
2000-01-01 02:20:00 PST,+31.522
2000-01-01 02:21:00 PST,+31.5457
2000-01-01 02:22:00 PST,+31.5688
2000-01-01 02:23:00 PST,+31.5913
2000-01-01 02:24:00 PST,+31.6132
2000-01-01 02:25:00 PST,+31.6345
2000-01-01 02:26:00 PST,+31.6552
2000-01-01 02:27:00 PST,+31.6753
2000-01-01 02:28:00 PST,+31.6948
2000-01-01 02:29:00 PST,+31.7137
2000-01-01 02:30:00 PST,+31.732
2000-01-01 02:31:00 PST,+31.7497
2000-01-01 02:32:00 PST,+31.7668
2000-01-01 02:33:00 PST,+31.7833
2000-01-01 02:34:00 PST,+31.7992
2000-01-01 02:35:00 PST,+31.8145
2000-01-01 02:36:00 PST,+31.8292
2000-01-01 02:37:00 PST,+31.8433
2000-01-01 02:38:00 PST,+31.8568
2000-01-01 02:39:00 PST,+31.8697
2000-01-01 02:40:00 PST,+31.882
2000-01-01 02:41:00 PST,+31.8937
2000-01-01 02:42:00 PST,+31.9048
2000-01-01 02:43:00 PST,+31.9153
2000-01-01 02:44:00 PST,+31.9252
2000-01-01 02:45:00 PST,+31.9345
2000-01-01 02:46:00 PST,+31.9432
2000-01-01 02:47:00 PST,+31.9513
2000-01-01 02:48:00 PST,+31.9588
2000-01-01 02:49:00 PST,+31.9657
2000-01-01 02:50:00 PST,+31.972
2000-01-01 02:51:00 PST,+31.9777
2000-01-01 02:52:00 PST,+31.9828
2000-01-01 02:53:00 PST,+31.9873
2000-01-01 02:54:00 PST,+31.9912
2000-01-01 02:55:00 PST,+31.9945
2000-01-01 02:56:00 PST,+31.9972
2000-01-01 02:57:00 PST,+31.9993
2000-01-01 02:58:00 PST,+32.0008
2000-01-01 02:59:00 PST,+32.0017
2000-01-01 03:00:00 PST,+32.002
2000-01-01 03:01:00 PST,+31.9914
2000-01-01 03:02:00 PST,+31.9805
2000-01-01 03:03:00 PST,+31.9694
2000-01-01 03:04:00 PST,+31.958
2000-01-01 03:05:00 PST,+31.9464
2000-01-01 03:06:00 PST,+31.9345
