# file...... voltage_data.csv
# date...... Fri Jun 24 10:44:12 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:30:00 PDT,0,+7216-0.000108106d,+7216-0.000108216d,+7201.79-0.159652d,+7196.57-0.216548d,+7182.9-0.342328d,+124.019-0.192725d,+123.94-0.238566d,+123.682-0.401115d
2009-08-08 04:30:05 PDT,0,+7216-0.000108113d,+7216-0.000108223d,+7201.79-0.159663d,+7196.57-0.216559d,+7182.9-0.342339d,+124.019-0.192743d,+123.94-0.238577d,+123.682-0.401126d
2009-08-08 04:30:10 PDT,0,+7216-0.000108113d,+7216-0.000108223d,+7201.79-0.159663d,+7196.57-0.216559d,+7182.9-0.342339d,+124.019-0.192743d,+123.94-0.238577d,+123.682-0.401126d
2009-08-08 04:30:15 PDT,-1,+7216-0.000107723d,+7171.18-0.000107834d,+7156.94-0.160892d,+7151.73-0.21814d,+7138.07-0.344612d,+123.246-0.194342d,+123.167-0.24034d,+122.91-0.403726d
2009-08-08 04:30:20 PDT,-1,+7216-0.000107723d,+7171.18-0.000107834d,+7156.94-0.160892d,+7151.73-0.21814d,+7138.07-0.344612d,+123.246-0.194343d,+123.167-0.240341d,+122.91-0.403726d
2009-08-08 04:30:25 PDT,-1,+7216-0.000107724d,+7171.18-0.000107834d,+7156.94-0.160892d,+7151.73-0.218141d,+7138.07-0.344612d,+123.246-0.194343d,+123.167-0.240341d,+122.91-0.403726d
2009-08-08 04:30:30 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:30:35 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:30:40 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:30:45 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:30:50 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:30:55 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:00 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:05 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:10 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:15 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:20 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:25 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:30 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:31:35 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:31:40 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:31:45 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:31:50 PDT,-2,+7216-0.000107346d,+7126.91-0.000107458d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:31:55 PDT,-2,+7216-0.000107346d,+7126.91-0.000107458d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:32:00 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:05 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:10 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:15 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:20 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:25 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:30 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:32:35 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:32:40 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:32:45 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:32:50 PDT,-2,+7216-0.000107346d,+7126.91-0.000107458d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:32:55 PDT,-2,+7216-0.000107346d,+7126.91-0.000107458d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:33:00 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:05 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:10 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:15 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:20 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:25 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:30 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:33:35 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:33:40 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:33:45 PDT,-2,+7216-0.000107346d,+7126.91-0.000107457d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:33:50 PDT,-2,+7216-0.000107346d,+7126.91-0.000107458d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:33:55 PDT,-2,+7216-0.000107346d,+7126.91-0.000107458d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:34:00 PDT,-2,+7216-0.000107345d,+7126.91-0.000107457d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:34:05 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:34:10 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:34:15 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:34:20 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
