# file...... voltage_data.csv
# date...... Fri Jun 24 10:44:12 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:30:00 PDT,0,+7216-0.000108106d,+7216-0.000108216d,+7201.79-0.159652d,+7196.57-0.216548d,+7182.9-0.342328d,+124.019-0.192725d,+123.94-0.238566d,+123.682-0.401115d
2009-08-08 04:34:25 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:34:30 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:34:35 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:34:40 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:34:45 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:34:50 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:34:55 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:35:00 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:35:05 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:35:10 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:35:15 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:35:20 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:35:25 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:35:30 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:35:35 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:35:40 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:35:45 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:35:50 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:35:55 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:36:00 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:36:05 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:36:10 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:36:15 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:36:20 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:36:25 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:36:30 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:36:35 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:36:40 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:36:45 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:36:50 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:36:55 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:37:00 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:37:05 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:37:10 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:37:15 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:37:20 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:37:25 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:37:30 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:37:35 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:37:40 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:37:45 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:37:50 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:37:55 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:38:00 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:38:05 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:38:10 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:38:15 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:38:20 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:38:25 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:38:30 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:38:35 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:38:40 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:38:45 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:38:50 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:38:55 PDT,-2,+7216-0.000107351d,+7126.91-0.000107463d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:39:00 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:39:05 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:39:10 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:39:15 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195964d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:39:20 PDT,-2,+7216-0.00010735d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:39:25 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.219739d,+7093.78-0.346907d,+122.484-0.195965d,+122.404-0.242122d,+122.147-0.40635d
2009-08-08 04:39:30 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162135d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:39:35 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:39:40 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195965d,+122.404-0.242123d,+122.147-0.406351d
2009-08-08 04:39:45 PDT,-2,+7216-0.000107351d,+7126.91-0.000107462d,+7112.65-0.162136d,+7107.43-0.21974d,+7093.78-0.346908d,+122.484-0.195966d,+122.404-0.242123d,+122.147-0.406351d
