# file...... HVAC_Data.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,sum(hvac_power.real),sum(hvac_power.imag),sum(is_HEAT_on),sum(is_AUX_on),sum(is_COOL_on) 
2000-08-01 01:23:00 PDT,+9.74874,+2.84338,+33,+0,+0
2000-08-01 01:24:00 PDT,+9.85848,+2.87539,+32,+0,+0
2000-08-01 01:25:00 PDT,+11.2525,+3.28197,+37,+0,+0
2000-08-01 01:26:00 PDT,+10.9183,+3.18452,+36,+0,+0
2000-08-01 01:27:00 PDT,+9.21558,+2.68788,+31,+0,+0
2000-08-01 01:28:00 PDT,+8.1551,+2.37857,+27,+0,+0
2000-08-01 01:29:00 PDT,+7.74076,+2.25772,+26,+0,+0
2000-08-01 01:30:00 PDT,+6.99743,+2.04092,+24,+0,+0
2000-08-01 01:31:00 PDT,+9.01099,+2.62821,+31,+0,+0
2000-08-01 01:32:00 PDT,+12.6207,+3.68102,+43,+0,+0
2000-08-01 01:33:00 PDT,+12.3035,+3.58852,+42,+0,+0
2000-08-01 01:34:00 PDT,+10.5007,+3.06269,+36,+0,+0
2000-08-01 01:35:00 PDT,+13.0513,+3.80663,+43,+0,+0
2000-08-01 01:36:00 PDT,+11.1419,+3.24971,+37,+0,+0
2000-08-01 01:37:00 PDT,+8.59908,+2.50807,+29,+0,+0
2000-08-01 01:38:00 PDT,+11.5777,+3.37684,+38,+0,+0
2000-08-01 01:39:00 PDT,+12.7398,+3.71576,+42,+0,+0
2000-08-01 01:40:00 PDT,+11.3591,+3.31306,+38,+0,+0
2000-08-01 01:41:00 PDT,+9.6652,+2.81902,+33,+0,+0
2000-08-01 01:42:00 PDT,+9.34181,+2.72469,+32,+0,+0
2000-08-01 01:43:00 PDT,+10.4001,+3.03337,+35,+0,+0
2000-08-01 01:44:00 PDT,+11.1339,+3.2474,+37,+0,+0
2000-08-01 01:45:00 PDT,+10.8105,+3.15305,+37,+0,+0
2000-08-01 01:46:00 PDT,+10.602,+3.09225,+35,+0,+0
2000-08-01 01:47:00 PDT,+11.6583,+3.40034,+38,+0,+0
