# file...... energy.csv
# date...... Thu Apr 16 10:10:27 2009
# user...... D3G637
# host...... (null)
# target.... waterheater 1
# trigger... (none)
# interval.. -1
# limit..... 8760
# timestamp,power
2001-02-16 17:38:49 PST,+4.5+0j
2001-02-17 12:42:56 PST,+0+0j
2001-02-17 12:50:35 PST,+4.5+0j
2001-02-18 08:30:57 PST,+0+0j
2001-02-18 08:38:36 PST,+4.5+0j
2001-02-19 03:58:53 PST,+0+0j
2001-02-19 04:06:32 PST,+4.5+0j
2001-02-19 04:08:20 PST,+0+0j
2001-02-19 23:18:02 PST,+4.5+0j
2001-02-20 18:08:49 PST,+0+0j
2001-02-20 18:11:31 PST,+4.5+0j
2001-02-21 13:17:19 PST,+0+0j
2001-02-21 13:25:02 PST,+4.5+0j
2001-02-22 09:03:27 PST,+0+0j
2001-02-22 09:11:06 PST,+4.5+0j
2001-02-23 04:41:07 PST,+0+0j
2001-02-23 04:48:46 PST,+4.5+0j
2001-02-23 04:50:35 PST,+0+0j
2001-02-24 00:00:16 PST,+4.5+0j
2001-02-24 18:53:09 PST,+0+0j
2001-02-24 18:56:11 PST,+4.5+0j
2001-02-25 14:00:57 PST,+0+0j
2001-02-25 14:08:40 PST,+4.5+0j
2001-02-26 09:59:46 PST,+0+0j
2001-02-26 10:07:25 PST,+4.5+0j
2001-02-27 05:41:40 PST,+0+0j
2001-02-27 05:49:18 PST,+4.5+0j
2001-02-28 00:57:29 PST,+0+0j
2001-02-28 01:05:08 PST,+4.5+0j
2001-02-28 01:07:00 PST,+0+0j
2001-02-28 20:17:13 PST,+4.5+0j
2001-03-01 15:17:11 PST,+0+0j
2001-03-01 15:24:51 PST,+4.5+0j
2001-03-01 15:26:13 PST,+0+0j
2001-03-02 11:05:29 PST,+4.5+0j
2001-03-03 07:05:10 PST,+0+0j
2001-03-03 07:12:48 PST,+4.5+0j
2001-03-04 02:38:45 PST,+0+0j
2001-03-04 02:46:24 PST,+4.5+0j
2001-03-04 02:48:02 PST,+0+0j
2001-03-04 22:00:43 PST,+4.5+0j
2001-03-04 22:02:21 PST,+0+0j
2001-03-05 17:15:36 PST,+4.5+0j
2001-03-06 12:44:06 PST,+0+0j
2001-03-06 12:51:45 PST,+4.5+0j
2001-03-06 12:53:06 PST,+0+0j
2001-03-07 08:31:36 PST,+4.5+0j
2001-03-08 04:14:11 PST,+0+0j
2001-03-08 04:21:50 PST,+4.5+0j
2001-03-08 04:23:30 PST,+0+0j
2001-03-08 23:36:07 PST,+4.5+0j
2001-03-08 23:38:02 PST,+0+0j
2001-03-09 18:50:26 PST,+4.5+0j
2001-03-10 13:31:42 PST,+0+0j
2001-03-10 13:39:21 PST,+4.5+0j
2001-03-11 09:39:13 PST,+0+0j
2001-03-11 09:46:52 PST,+4.5+0j
2001-03-12 05:38:55 PST,+0+0j
2001-03-12 05:46:34 PST,+4.5+0j
2001-03-12 05:48:07 PST,+0+0j
2001-03-13 01:00:53 PST,+4.5+0j
2001-03-13 01:02:35 PST,+0+0j
2001-03-13 20:15:15 PST,+4.5+0j
2001-03-14 15:23:21 PST,+0+0j
2001-03-14 15:31:00 PST,+4.5+0j
2001-03-14 15:32:24 PST,+0+0j
2001-03-15 11:05:46 PST,+4.5+0j
2001-03-16 06:44:33 PST,+0+0j
2001-03-16 07:04:44 PST,+4.5+0j
2001-03-17 02:05:10 PST,+0+0j
2001-03-17 02:12:01 PST,+4.5+0j
2001-03-17 21:16:23 PST,+0+0j
2001-03-17 21:19:45 PST,+4.5+0j
2001-03-18 16:23:35 PST,+0+0j
2001-03-18 16:31:18 PST,+4.5+0j
2001-03-19 12:33:14 PST,+0+0j
2001-03-19 12:40:53 PST,+4.5+0j
2001-03-19 12:42:16 PST,+0+0j
2001-03-20 08:22:05 PST,+4.5+0j
2001-03-21 04:10:01 PST,+0+0j
2001-03-21 04:17:40 PST,+4.5+0j
2001-03-21 04:19:19 PST,+0+0j
2001-03-21 23:31:56 PST,+4.5+0j
2001-03-21 23:33:50 PST,+0+0j
2001-03-22 18:46:37 PST,+4.5+0j
2001-03-23 13:28:47 PST,+0+0j
2001-03-23 13:36:26 PST,+4.5+0j
2001-03-24 09:36:43 PST,+0+0j
2001-03-24 09:44:22 PST,+4.5+0j
2001-03-25 05:36:37 PST,+0+0j
2001-03-25 05:44:16 PST,+4.5+0j
2001-03-25 05:45:49 PST,+0+0j
2001-03-26 00:58:36 PST,+4.5+0j
2001-03-26 01:00:17 PST,+0+0j
2001-03-26 20:12:58 PST,+4.5+0j
2001-03-27 15:21:09 PST,+0+0j
2001-03-27 15:28:48 PST,+4.5+0j
2001-03-27 15:30:12 PST,+0+0j
2001-03-28 11:03:30 PST,+4.5+0j
2001-03-29 06:42:22 PST,+0+0j
2001-03-29 07:02:40 PST,+4.5+0j
2001-03-30 02:03:06 PST,+0+0j
2001-03-30 02:09:57 PST,+4.5+0j
2001-03-30 21:14:19 PST,+0+0j
2001-03-30 21:17:41 PST,+4.5+0j
2001-03-31 16:21:31 PST,+0+0j
2001-03-31 16:29:14 PST,+4.5+0j
2001-04-01 12:31:10 PST,+0+0j
2001-04-01 12:38:49 PST,+4.5+0j
2001-04-01 12:40:15 PST,+0+0j
2001-04-02 08:21:00 PST,+4.5+0j
2001-04-03 04:18:07 PST,+0+0j
2001-04-03 04:25:46 PST,+4.5+0j
2001-04-03 04:27:21 PST,+0+0j
2001-04-03 23:40:02 PST,+4.5+0j
2001-04-03 23:41:51 PST,+0+0j
2001-04-04 18:53:40 PST,+4.5+0j
2001-04-05 13:45:02 PST,+0+0j
2001-04-05 13:52:41 PST,+4.5+0j
2001-04-05 13:54:03 PST,+0+0j
