# file...... exercise_5_2_1.csv
# date...... Fri Jun 04 16:37:03 2010
# user...... fish334
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 3600
# limit..... 168
# timestamp,total_load
2001-07-05 21:00:00 PDT,+0.955274
2001-07-05 22:00:00 PDT,+0.822874
2001-07-05 23:00:00 PDT,+0.626531
2001-07-06 00:00:00 PDT,+0.502492
2001-07-06 01:00:00 PDT,+0.442972
2001-07-06 02:00:00 PDT,+0.403953
2001-07-06 03:00:00 PDT,+0.391476
2001-07-06 04:00:00 PDT,+0.387296
2001-07-06 05:00:00 PDT,+0.389292
2001-07-06 06:00:00 PDT,+0.411996
2001-07-06 07:00:00 PDT,+0.479321
2001-07-06 08:00:00 PDT,+0.539883
2001-07-06 09:00:00 PDT,+0.591559
2001-07-06 10:00:00 PDT,+0.592534
2001-07-06 11:00:00 PDT,+0.600964
2001-07-06 12:00:00 PDT,+0.580166
2001-07-06 13:00:00 PDT,+0.576823
2001-07-06 14:00:00 PDT,+0.581575
2001-07-06 15:00:00 PDT,+3.50819
2001-07-06 16:00:00 PDT,+0.588417
2001-07-06 17:00:00 PDT,+0.611732
2001-07-06 18:00:00 PDT,+0.640701
2001-07-06 19:00:00 PDT,+0.668337
2001-07-06 20:00:00 PDT,+0.750177
2001-07-06 21:00:00 PDT,+0.834895
2001-07-06 22:00:00 PDT,+0.771378
2001-07-06 23:00:00 PDT,+0.605707
2001-07-07 00:00:00 PDT,+0.502492
2001-07-07 01:00:00 PDT,+0.442972
2001-07-07 02:00:00 PDT,+0.403953
2001-07-07 03:00:00 PDT,+0.391476
2001-07-07 04:00:00 PDT,+0.387296
2001-07-07 05:00:00 PDT,+0.389292
2001-07-07 06:00:00 PDT,+0.411996
2001-07-07 07:00:00 PDT,+0.479321
2001-07-07 08:00:00 PDT,+0.539883
2001-07-07 09:00:00 PDT,+0.591559
2001-07-07 10:00:00 PDT,+0.592534
2001-07-07 11:00:00 PDT,+0.600964
2001-07-07 12:00:00 PDT,+0.580166
2001-07-07 13:00:00 PDT,+0.576823
2001-07-07 14:00:00 PDT,+0.581575
2001-07-07 15:00:00 PDT,+0.590887
2001-07-07 16:00:00 PDT,+0.588417
2001-07-07 17:00:00 PDT,+3.59183
2001-07-07 18:00:00 PDT,+0.640701
2001-07-07 19:00:00 PDT,+0.668337
2001-07-07 20:00:00 PDT,+0.750177
2001-07-07 21:00:00 PDT,+0.834895
2001-07-07 22:00:00 PDT,+0.771378
2001-07-07 23:00:00 PDT,+0.605707
