# file...... HVAC_Data2.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,avg(cooling_setpoint),sum(hvac_load)
2000-08-01 01:48:00 PDT,+71.5548,+11.7595
2000-08-01 01:49:00 PDT,+71.5548,+9.0056
2000-08-01 01:50:00 PDT,+71.5548,+7.63082
2000-08-01 01:51:00 PDT,+71.5548,+9.64272
2000-08-01 01:52:00 PDT,+71.5548,+7.52367
2000-08-01 01:53:00 PDT,+71.5548,+6.88768
2000-08-01 01:54:00 PDT,+71.5548,+9.11282
2000-08-01 01:55:00 PDT,+71.5548,+7.9474
2000-08-01 01:56:00 PDT,+71.5548,+7.84178
2000-08-01 01:57:00 PDT,+71.5548,+8.26555
2000-08-01 01:58:00 PDT,+71.5548,+8.79455
2000-08-01 01:59:00 PDT,+71.5548,+10.1716
2000-08-01 02:00:00 PDT,+71.5548,+6.9928
2000-08-01 02:01:00 PDT,+71.5548,+7.09837
2000-08-01 02:02:00 PDT,+71.5548,+9.85307
2000-08-01 02:03:00 PDT,+71.5548,+10.064
2000-08-01 02:04:00 PDT,+71.5548,+9.322
2000-08-01 02:05:00 PDT,+71.0429,+9.42763
2000-08-01 02:06:00 PDT,+71.0429,+7.73263
2000-08-01 02:07:00 PDT,+71.0429,+9.32086
2000-08-01 02:08:00 PDT,+71.0429,+10.0623
2000-08-01 02:09:00 PDT,+71.0429,+12.2889
2000-08-01 02:10:00 PDT,+71.0429,+11.3359
2000-08-01 02:11:00 PDT,+71.0429,+8.68608
2000-08-01 02:12:00 PDT,+71.0429,+8.89811
2000-08-01 02:13:00 PDT,+71.0429,+9.2164
2000-08-01 02:14:00 PDT,+71.0429,+13.958
2000-08-01 02:15:00 PDT,+71.0429,+13.7449
2000-08-01 02:16:00 PDT,+71.0429,+14.9109
2000-08-01 02:17:00 PDT,+71.0429,+10.4896
2000-08-01 02:18:00 PDT,+71.0429,+10.0656
2000-08-01 02:19:00 PDT,+71.0429,+12.924
2000-08-01 02:20:00 PDT,+71.0429,+13.2414
2000-08-01 02:21:00 PDT,+71.0429,+11.5462
2000-08-01 02:22:00 PDT,+71.0429,+12.922
2000-08-01 02:23:00 PDT,+71.0429,+11.3302
2000-08-01 02:24:00 PDT,+71.0429,+10.9073
2000-08-01 02:25:00 PDT,+71.0429,+13.4511
2000-08-01 02:26:00 PDT,+71.0429,+10.911
2000-08-01 02:27:00 PDT,+71.0429,+8.5803
2000-08-01 02:28:00 PDT,+71.0429,+9.85192
2000-08-01 02:29:00 PDT,+71.0429,+12.4999
2000-08-01 02:30:00 PDT,+71.0429,+10.8035
2000-08-01 02:31:00 PDT,+71.0429,+9.84994
2000-08-01 02:32:00 PDT,+71.0429,+9.63854
2000-08-01 02:33:00 PDT,+71.0429,+9.42642
2000-08-01 02:34:00 PDT,+71.0429,+10.5895
2000-08-01 02:35:00 PDT,+71.0429,+11.2252
2000-08-01 02:36:00 PDT,+71.0429,+13.1311
2000-08-01 02:37:00 PDT,+71.0429,+10.3772
2000-08-01 02:38:00 PDT,+71.0429,+10.3782
2000-08-01 02:39:00 PDT,+71.0429,+10.2724
2000-08-01 02:40:00 PDT,+71.0429,+9.63833
2000-08-01 02:41:00 PDT,+71.0429,+10.2734
2000-08-01 02:42:00 PDT,+71.0429,+9.53156
2000-08-01 02:43:00 PDT,+71.0429,+10.5904
2000-08-01 02:44:00 PDT,+71.0429,+11.4376
2000-08-01 02:45:00 PDT,+71.0429,+10.8025
2000-08-01 02:46:00 PDT,+71.0429,+12.3917
2000-08-01 02:47:00 PDT,+71.0429,+13.3452
2000-08-01 02:48:00 PDT,+71.0429,+12.0719
2000-08-01 02:49:00 PDT,+71.0429,+11.4342
2000-08-01 02:50:00 PDT,+71.0429,+12.2831
2000-08-01 02:51:00 PDT,+71.0429,+12.284
2000-08-01 02:52:00 PDT,+71.0429,+11.0122
2000-08-01 02:53:00 PDT,+71.0429,+10.484
2000-08-01 02:54:00 PDT,+71.0429,+8.78921
2000-08-01 02:55:00 PDT,+71.0429,+9.84866
2000-08-01 02:56:00 PDT,+71.0429,+11.5442
2000-08-01 02:57:00 PDT,+71.0429,+11.2256
2000-08-01 02:58:00 PDT,+71.0429,+10.8012
2000-08-01 02:59:00 PDT,+71.0429,+12.4934
2000-08-01 03:00:00 PDT,+71.4447,+13.6563
2000-08-01 03:01:00 PDT,+71.4447,+14.2923
2000-08-01 03:02:00 PDT,+71.4447,+13.5517
2000-08-01 03:03:00 PDT,+71.4447,+14.3975
2000-08-01 03:04:00 PDT,+71.4447,+14.0826
2000-08-01 03:05:00 PDT,+71.521,+15.4589
2000-08-01 03:06:00 PDT,+71.521,+15.9882
2000-08-01 03:07:00 PDT,+71.521,+15.46
2000-08-01 03:08:00 PDT,+71.521,+15.2484
2000-08-01 03:09:00 PDT,+71.521,+14.6138
2000-08-01 03:10:00 PDT,+71.521,+12.8133
2000-08-01 03:11:00 PDT,+71.521,+9.95443
2000-08-01 03:12:00 PDT,+71.521,+9.63617
2000-08-01 03:13:00 PDT,+71.521,+12.2835
2000-08-01 03:14:00 PDT,+71.521,+13.6603
2000-08-01 03:15:00 PDT,+71.521,+13.3431
2000-08-01 03:16:00 PDT,+71.521,+14.7185
2000-08-01 03:17:00 PDT,+71.521,+14.6126
2000-08-01 03:18:00 PDT,+71.521,+15.0351
2000-08-01 03:19:00 PDT,+71.521,+13.1295
2000-08-01 03:20:00 PDT,+71.521,+12.8134
2000-08-01 03:21:00 PDT,+71.521,+11.7542
2000-08-01 03:22:00 PDT,+71.521,+11.0129
2000-08-01 03:23:00 PDT,+71.521,+12.2827
2000-08-01 03:24:00 PDT,+71.521,+12.7064
2000-08-01 03:25:00 PDT,+71.521,+14.2935
2000-08-01 03:26:00 PDT,+71.521,+13.1285
2000-08-01 03:27:00 PDT,+71.521,+14.9294
2000-08-01 03:28:00 PDT,+71.521,+13.4484
2000-08-01 03:29:00 PDT,+71.521,+10.4833
2000-08-01 03:30:00 PDT,+71.521,+11.6474
2000-08-01 03:31:00 PDT,+71.521,+13.236
2000-08-01 03:32:00 PDT,+71.521,+11.1165
2000-08-01 03:33:00 PDT,+71.521,+13.0214
2000-08-01 03:34:00 PDT,+71.521,+14.6094
2000-08-01 03:35:00 PDT,+71.521,+13.5514
2000-08-01 03:36:00 PDT,+71.521,+16.0932
2000-08-01 03:37:00 PDT,+71.521,+15.4585
2000-08-01 03:38:00 PDT,+71.521,+13.6577
2000-08-01 03:39:00 PDT,+71.521,+12.4927
2000-08-01 03:40:00 PDT,+71.521,+12.8122
2000-08-01 03:41:00 PDT,+71.521,+13.6605
2000-08-01 03:42:00 PDT,+71.521,+14.2938
2000-08-01 03:43:00 PDT,+71.521,+14.7186
2000-08-01 03:44:00 PDT,+71.521,+15.1419
2000-08-01 03:45:00 PDT,+71.521,+16.6245
2000-08-01 03:46:00 PDT,+71.521,+13.8725
2000-08-01 03:47:00 PDT,+71.521,+12.2853
2000-08-01 03:48:00 PDT,+71.521,+12.7081
2000-08-01 03:49:00 PDT,+71.521,+8.79014
2000-08-01 03:50:00 PDT,+71.521,+10.5907
2000-08-01 03:51:00 PDT,+71.521,+12.8129
2000-08-01 03:52:00 PDT,+71.521,+12.494
2000-08-01 03:53:00 PDT,+71.521,+17.1549
2000-08-01 03:54:00 PDT,+71.521,+19.3811
2000-08-01 03:55:00 PDT,+71.521,+15.6755
2000-08-01 03:56:00 PDT,+71.521,+13.5571
2000-08-01 03:57:00 PDT,+71.521,+12.0747
2000-08-01 03:58:00 PDT,+71.521,+11.5459
2000-08-01 03:59:00 PDT,+71.521,+13.3464
2000-08-01 04:00:00 PDT,+71.4627,+14.2979
2000-08-01 04:01:00 PDT,+71.4627,+15.0368
2000-08-01 04:02:00 PDT,+71.4627,+15.2481
2000-08-01 04:03:00 PDT,+71.4627,+16.2053
2000-08-01 04:04:00 PDT,+71.4627,+14.1934
