# file...... overhead_line_losses.csv
# date...... Tue May 24 13:16:15 2016
# user...... hard312
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 60
# limit..... 0
# property.. timestamp,sum(power_losses_A.real), std(power_losses_A.real)
2009-01-01 01:42:00 PST,+1.49926e-24,+5.80893e-25
2009-01-01 01:43:00 PST,+7.05688e-24,+3.11085e-24
2009-01-01 01:44:00 PST,+4.1359e-25,+8.44238e-26
2009-01-01 01:45:00 PST,+2.17135e-24,+7.80064e-25
2009-01-01 01:46:00 PST,+8.27988e-25,+4.13456e-25
2009-01-01 01:47:00 PST,+4.1876e-24,+1.55462e-24
2009-01-01 01:48:00 PST,+2.06795e-24,+7.82914e-25
2009-01-01 01:49:00 PST,+7.65142e-24,+3.82571e-24
2009-01-01 01:50:00 PST,+1.24077e-24,+3.95983e-25
2009-01-01 01:51:00 PST,+6.03583e-24,+2.35195e-24
2009-01-01 01:52:00 PST,+3.41212e-24,+1.21867e-24
2009-01-01 01:53:00 PST,+5.80319e-24,+2.89298e-24
2009-01-01 01:54:00 PST,+3.72878e-24,+1.36505e-24
2009-01-01 01:55:00 PST,+0,+0
2009-01-01 01:56:00 PST,+2.53324e-24,+1.2324e-24
2009-01-01 01:57:00 PST,+2.06795e-24,+1.03398e-24
2009-01-01 01:58:00 PST,+1.63885e-23,+5.30047e-24
2009-01-01 01:59:00 PST,+6.46235e-25,+1.91559e-25
