# file...... substation_data.csv
# date...... Tue May 24 13:16:15 2016
# user...... hard312
# host...... (null)
# target.... meter 10
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A.real, measured_voltage_A.imag, measured_current_A.real, measured_current_A.real, measured_power_A.real, measured_power_A.imag
2009-01-01 00:00:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:01:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:02:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:03:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:04:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:05:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:06:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:07:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:08:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:09:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:10:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:11:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:12:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:13:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:14:00 PST,+7215.96,-0.24592,+18.0414,+18.0414,+130186,+422.88
2009-01-01 00:15:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:16:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:17:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:18:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:19:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:20:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:21:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:22:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:23:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:24:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:25:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:26:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:27:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:28:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:29:00 PST,+7215.95,-0.340632,+24.9915,+24.9915,+180337,+663.782
2009-01-01 00:30:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:31:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:32:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:33:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:34:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:35:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:36:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:37:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
2009-01-01 00:38:00 PST,+7215.94,-0.416446,+30.5619,+30.5619,+220533,+1199.57
