# file...... meter_powers.csv
# date...... Thu Jun 23 11:28:19 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_1_meter_1a:measured_power_A.real,branch_1_meter_1a:measured_power_A.imag,branch_1_meter_1b:measured_power_A.real,branch_1_meter_1b:measured_power_A.imag, branch_2_meter_1:measured_power_A, branch_1_meter_2:measured_power_A, branch_2_meter_2:measured_power_A, branch_1_meter_3:measured_power_A, branch_2_meter_3:measured_power_A
2009-01-01 00:31:00 PST,+150104,-17139.7,+148078,-12639.1,+1.83269e+06+8.03803d,+1.2227e+06+7.55853d,+1.2071e+06+7.35574d,+601369+6.42135d,+593770+6.22035d
2009-01-01 00:32:00 PST,+143217,-15784.1,+141372,-11347.4,+1.70043e+06+7.3588d,+1.13412e+06+6.86732d,+1.1202e+06+6.66258d,+557975+5.70964d,+551197+5.50686d
2009-01-01 00:33:00 PST,+151190,-17343.7,+149227,-12742.4,+1.85375e+06+8.13992d,+1.2368e+06+7.66205d,+1.22094e+06+7.45969d,+608275+6.52791d,+600549+6.32732d
2009-01-01 00:34:00 PST,+141616,-15452.7,+139799,-11046.9,+1.66999e+06+7.19206d,+1.11374e+06+6.6975d,+1.10021e+06+6.49237d,+547988+5.53472d,+541399+5.33159d
2009-01-01 00:35:00 PST,+142740,-15686.3,+140986,-11175.8,+1.69137e+06+7.30961d,+1.12805e+06+6.81715d,+1.11425e+06+6.61237d,+555000+5.65798d,+548282+5.45518d
2009-01-01 00:36:00 PST,+140283,-15172.1,+138572,-10707.5,+1.64475e+06+7.05048d,+1.09682e+06+6.55318d,+1.08362e+06+6.34785d,+539699+5.38606d,+533271+5.18277d
2009-01-01 00:37:00 PST,+148019,-16741.3,+146160,-12147.1,+1.79245e+06+7.83884d,+1.19575e+06+7.3558d,+1.18066e+06+7.15249d,+588165+6.21264d,+580820+6.01116d
2009-01-01 00:38:00 PST,+152889,-17657,+150839,-13084.7,+1.88676e+06+8.29639d,+1.25891e+06+7.82116d,+1.24262e+06+7.61933d,+619106+6.69168d,+611174+6.49159d
2009-01-01 00:39:00 PST,+147665,-16672.3,+145693,-12204.2,+1.78561e+06+7.8043d,+1.19117e+06+7.32079d,+1.17617e+06+7.11724d,+585925+6.1766d,+578616+5.9749d
2009-01-01 00:40:00 PST,+148470,-16828.2,+146526,-12303.2,+1.80113e+06+7.8823d,+1.20156e+06+7.4001d,+1.18637e+06+7.19683d,+591016+6.25827d,+583614+6.05684d
2009-01-01 00:41:00 PST,+142847,-15708.2,+141025,-11261.8,+1.6934e+06+7.32065d,+1.12941e+06+6.82845d,+1.11558e+06+6.62363d,+555667+5.66961d,+548933+5.46676d
2009-01-01 00:42:00 PST,+145322,-16210.5,+143497,-11677.6,+1.74064e+06+7.57293d,+1.16105e+06+7.08523d,+1.14662e+06+6.88112d,+571167+5.93404d,+564142+5.73182d
2009-01-01 00:43:00 PST,+148426,-16819.7,+146505,-12272.3,+1.80028e+06+7.87808d,+1.20099e+06+7.39577d,+1.18581e+06+7.19252d,+590735+6.25378d,+583339+6.05236d
2009-01-01 00:44:00 PST,+148096,-16755.9,+146153,-12242.4,+1.79391e+06+7.84617d,+1.19673e+06+7.36333d,+1.18162e+06+7.15996d,+588647+6.22038d,+581289+6.01884d
2009-01-01 00:45:00 PST,+141421,-15412.1,+139635,-10981.7,+1.6663e+06+7.17154d,+1.11126e+06+6.67657d,+1.09778e+06+6.47143d,+546776+5.51318d,+540211+5.31004d
2009-01-01 00:46:00 PST,+144398,-16024.7,+142608,-11489.5,+1.72297e+06+7.47973d,+1.14921e+06+6.99034d,+1.13502e+06+6.786d,+565369+5.83632d,+558455+5.63389d
2009-01-01 00:47:00 PST,+140534,-15225.4,+138803,-10773.1,+1.6495e+06+7.07739d,+1.10001e+06+6.58062d,+1.08674e+06+6.37532d,+541261+5.41433d,+534803+5.21106d
2009-01-01 00:48:00 PST,+141806,-15492.7,+140084,-10984.1,+1.67362e+06+7.21218d,+1.11616e+06+6.71788d,+1.10259e+06+6.51291d,+549174+5.55571d,+542568+5.35273d
2009-01-01 00:49:00 PST,+138165,-14716.9,+136511,-10274.4,+1.60479e+06+6.82017d,+1.07006e+06+6.31844d,+1.05737e+06+6.11273d,+526586+5.14425d,+520408+4.94062d
2009-01-01 00:50:00 PST,+142215,-15577.8,+140508,-11038.4,+1.68139e+06+7.25502d,+1.12136e+06+6.76149d,+1.1077e+06+6.55665d,+551723+5.60062d,+545069+5.39775d
2009-01-01 00:51:00 PST,+147098,-16561.9,+145239,-11999.5,+1.77472e+06+7.74904d,+1.18387e+06+7.26445d,+1.16901e+06+7.06084d,+582347+6.11857d,+575111+5.91682d
2009-01-01 00:52:00 PST,+139061,-14910.9,+137338,-10504.9,+1.62167e+06+6.91845d,+1.08137e+06+6.41867d,+1.06846e+06+6.21306d,+532129+5.2475d,+525843+5.04395d
2009-01-01 00:53:00 PST,+141160,-15357.5,+139467,-10843,+1.66137e+06+7.14404d,+1.10795e+06+6.64846d,+1.09454e+06+6.44336d,+545152+5.4842d,+538623+5.28111d
2009-01-01 00:54:00 PST,+140030,-15118.5,+138341,-10641.7,+1.63997e+06+7.02343d,+1.09362e+06+6.52557d,+1.08048e+06+6.32023d,+538131+5.35759d,+531734+5.15427d
2009-01-01 00:55:00 PST,+150903,-17290.2,+148981,-12658,+1.84819e+06+8.11321d,+1.23307e+06+7.63485d,+1.21728e+06+7.43244d,+606451+6.49991d,+598761+6.29927d
2009-01-01 00:56:00 PST,+150360,-17188,+148342,-12670.9,+1.83765e+06+8.06222d,+1.22602e+06+7.5831d,+1.21036e+06+7.38041d,+602997+6.44663d,+595367+6.24572d
2009-01-01 00:57:00 PST,+144931,-16131.9,+143044,-11675.3,+1.73315e+06+7.53354d,+1.15604e+06+7.04523d,+1.1417e+06+6.84092d,+568712+5.89285d,+561730+5.69047d
2009-01-01 00:58:00 PST,+142887,-15716.4,+141097,-11236.6,+1.69416e+06+7.3248d,+1.12992e+06+6.83264d,+1.11608e+06+6.62787d,+555915+5.67391d,+549178+5.47111d
2009-01-01 00:59:00 PST,+137784,-14633.8,+136128,-10207.7,+1.59763e+06+6.77805d,+1.06526e+06+6.27551d,+1.05266e+06+6.06972d,+524236+5.10002d,+518102+4.89633d
