# file...... meter_voltages.csv
# date...... Thu Jun 23 11:28:19 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_1_meter_1a:measured_voltage_A.real,branch_1_meter_1a:measured_voltage_A.imag,branch_1_meter_1b:measured_voltage_A, branch_1_meter_1b:measured_voltage_A.real,branch_1_meter_1b:measured_voltage_A.imag,branch_2_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_2_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, branch_2_meter_3:measured_voltage_A
2009-01-01 00:38:00 PST,+7805.53,-403.743,+7815.97-2.961d,+7805.53,-403.743,+7771.75-3.54955d,+7768.91-4.15039d,+7725.61-4.73805d,+7702.37-5.9407d,+7660.41-6.52666d
2009-01-01 00:39:00 PST,+7568.17,-396.431,+7578.55-2.99849d,+7568.17,-396.431,+7537.06-3.58193d,+7534-4.1982d,+7493.4-4.78068d,+7471.17-6.00357d,+7431.86-6.58425d
2009-01-01 00:40:00 PST,+7605.04,-397.574,+7615.42-2.99257d,+7605.04,-397.574,+7573.52-3.57677d,+7570.49-4.19064d,+7529.47-4.77389d,+7507.08-5.99361d,+7467.36-6.57507d
2009-01-01 00:41:00 PST,+7345.58,-389.612,+7355.91-3.03614d,+7345.58,-389.611,+7317.04-3.6142d,+7313.72-4.24613d,+7275.7-4.82316d,+7254.37-6.06649d,+7217.59-6.64159d
2009-01-01 00:42:00 PST,+7460.37,-393.142,+7470.72-3.01654d,+7460.37,-393.142,+7430.52-3.59732d,+7427.32-4.22116d,+7387.98-4.80094d,+7366.18-6.03368d,+7328.1-6.61159d
2009-01-01 00:43:00 PST,+7603.01,-397.516,+7613.39-2.99293d,+7603.01,-397.516,+7571.52-3.57705d,+7568.48-4.19109d,+7527.49-4.77426d,+7505.1-5.99419d,+7465.41-6.57557d
2009-01-01 00:44:00 PST,+7587.9,-397.046,+7598.28-2.99533d,+7587.9,-397.046,+7556.58-3.57916d,+7553.53-4.19417d,+7512.71-4.77704d,+7490.39-5.99825d,+7450.86-6.57932d
2009-01-01 00:45:00 PST,+7278.99,-387.574,+7289.3-3.04787d,+7278.99,-387.574,+7251.23-3.62423d,+7247.81-4.26106d,+7210.58-4.83637d,+7189.51-6.08607d,+7153.49-6.65942d
2009-01-01 00:46:00 PST,+7417.63,-391.834,+7427.97-3.02382d,+7417.63,-391.834,+7388.28-3.60354d,+7385.02-4.23042d,+7346.18-4.80913d,+7324.54-6.04583d,+7286.96-6.62266d
2009-01-01 00:47:00 PST,+7237.4,-386.309,+7247.71-3.05536d,+7237.4,-386.309,+7210.14-3.6306d,+7206.66-4.27058d,+7169.92-4.84474d,+7149-6.09854d,+7113.48-6.67071d
