# file...... output.csv
# date...... Thu Sep 03 17:42:37 2009
# user...... D3G637
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(panel.power.real),sum(panel.power.imag)
2009-08-01 01:00:00 PDT,12.24,5.9281
2009-08-01 01:00:04 PDT,35.8124,5.9281
2009-08-01 01:00:06 PDT,88.8166,5.9281
2009-08-01 01:00:28 PDT,79.8874,5.9281
2009-08-01 01:00:52 PDT,88.8166,5.9281
2009-08-01 01:01:16 PDT,79.8874,5.9281
2009-08-01 01:01:40 PDT,88.8166,5.9281
2009-08-01 01:02:04 PDT,79.8874,5.9281
2009-08-01 01:02:28 PDT,88.8166,5.9281
2009-08-01 01:02:51 PDT,79.8874,5.9281
2009-08-01 01:03:15 PDT,88.8166,5.9281
2009-08-01 01:03:39 PDT,79.8874,5.9281
2009-08-01 01:04:03 PDT,88.8166,5.9281
2009-08-01 01:04:27 PDT,79.8874,5.9281
2009-08-01 01:04:51 PDT,88.8166,5.9281
2009-08-01 01:05:14 PDT,79.8874,5.9281
2009-08-01 01:05:38 PDT,88.8166,5.9281
2009-08-01 01:06:02 PDT,79.8874,5.9281
2009-08-01 01:06:26 PDT,88.8166,5.9281
2009-08-01 01:06:50 PDT,79.8874,5.9281
2009-08-01 01:06:51 PDT,70.8609,5.9281
2009-08-01 01:07:04 PDT,57.1741,5.9281
2009-08-01 01:07:33 PDT,70.8609,5.9281
2009-08-01 01:08:02 PDT,57.1741,5.9281
2009-08-01 01:08:32 PDT,70.8609,5.9281
2009-08-01 01:08:43 PDT,61.0321,5.9281
2009-08-01 01:09:14 PDT,70.8609,5.9281
2009-08-01 01:09:45 PDT,61.0321,5.9281
2009-08-01 01:10:16 PDT,70.8609,5.9281
2009-08-01 01:10:25 PDT,91.4409,5.9281
2009-08-01 01:10:50 PDT,80.5701,5.9281
2009-08-01 01:11:16 PDT,91.4409,5.9281
2009-08-01 01:11:42 PDT,80.5701,5.9281
2009-08-01 01:12:08 PDT,91.4409,5.9281
2009-08-01 01:12:33 PDT,80.5701,5.9281
2009-08-01 01:12:59 PDT,91.4409,5.9281
2009-08-01 01:13:25 PDT,80.5701,5.9281
2009-08-01 01:13:51 PDT,91.4409,5.9281
2009-08-01 01:13:56 PDT,79.908,5.9281
2009-08-01 01:14:30 PDT,91.4409,5.9281
2009-08-01 01:15:04 PDT,79.908,5.9281
2009-08-01 01:15:39 PDT,91.4409,5.9281
2009-08-01 01:16:14 PDT,79.908,5.9281
2009-08-01 01:16:49 PDT,91.4409,5.9281
2009-08-01 01:17:23 PDT,79.908,5.9281
2009-08-01 01:17:58 PDT,91.4409,5.9281
2009-08-01 01:18:33 PDT,79.908,5.9281
2009-08-01 01:19:08 PDT,91.4409,5.9281
2009-08-01 01:19:42 PDT,79.908,5.9281
2009-08-01 01:20:17 PDT,91.4409,5.9281
2009-08-01 01:20:52 PDT,79.908,5.9281
2009-08-01 01:21:27 PDT,91.4409,5.9281
2009-08-01 01:21:41 PDT,81.7317,5.9281
2009-08-01 01:22:07 PDT,68.6633,5.9281
2009-08-01 01:23:01 PDT,81.7317,5.9281
2009-08-01 01:23:53 PDT,68.6633,5.9281
2009-08-01 01:23:54 PDT,58.1593,5.9281
2009-08-01 01:24:43 PDT,68.6633,5.9281
2009-08-01 01:25:31 PDT,58.1593,5.9281
2009-08-01 01:26:20 PDT,68.6633,5.9281
2009-08-01 01:27:07 PDT,58.1593,5.9281
2009-08-01 01:27:56 PDT,68.6633,5.9281
2009-08-01 01:28:44 PDT,58.1593,5.9281
2009-08-01 01:29:04 PDT,44.4725,5.9281
2009-08-01 01:29:33 PDT,58.1593,5.9281
2009-08-01 01:30:02 PDT,44.4725,5.9281
2009-08-01 01:30:32 PDT,58.1593,5.9281
2009-08-01 01:31:02 PDT,44.4725,5.9281
2009-08-01 01:31:32 PDT,58.1593,5.9281
2009-08-01 01:32:01 PDT,44.4725,5.9281
2009-08-01 01:32:10 PDT,33.6017,5.9281
2009-08-01 01:32:36 PDT,44.4725,5.9281
2009-08-01 01:33:02 PDT,33.6017,5.9281
2009-08-01 01:33:28 PDT,44.4725,5.9281
2009-08-01 01:33:54 PDT,33.6017,5.9281
2009-08-01 01:34:21 PDT,44.4725,5.9281
2009-08-01 01:34:47 PDT,33.6017,5.9281
2009-08-01 01:34:50 PDT,23.7729,5.9281
2009-08-01 01:35:21 PDT,33.6017,5.9281
