# file...... theat_collector.csv
# date...... Tue Jul 28 10:49:09 2009
# user...... D3K077
# host...... (null)
# group..... class=lights
# trigger... (none)
# interval.. 3600
# limit..... 768
# property.. timestamp,sum(energy_meter.real),avg(energy_meter.real)
2001-01-01 01:00:00 PST,0,0
2001-01-01 02:00:00 PST,0.990464,0.495232
2001-01-01 03:00:00 PST,0.990464,0.495232
2001-01-01 04:00:00 PST,0.676136,0.338068
2001-01-01 05:00:00 PST,0.676136,0.338068
2001-01-01 06:00:00 PST,0.676136,0.338068
2001-01-01 07:00:00 PST,0.872591,0.436296
2001-01-01 08:00:00 PST,0.872591,0.436296
2001-01-01 09:00:00 PST,0.872591,0.436296
2001-01-01 10:00:00 PST,1.06905,0.534523
2001-01-01 11:00:00 PST,1.06905,0.534523
2001-01-01 12:00:00 PST,1.06905,0.534523
2001-01-01 13:00:00 PST,0.872591,0.436296
2001-01-01 14:00:00 PST,0.872591,0.436296
2001-01-01 15:00:00 PST,0.872591,0.436296
2001-01-01 16:00:00 PST,0.872591,0.436296
2001-01-01 17:00:00 PST,0.872591,0.436296
2001-01-01 18:00:00 PST,0.872591,0.436296
2001-01-01 19:00:00 PST,0.872591,0.436296
2001-01-01 20:00:00 PST,0.872591,0.436296
2001-01-01 21:00:00 PST,0.872591,0.436296
2001-01-01 22:00:00 PST,1.06905,0.534523
2001-01-01 23:00:00 PST,1.06905,0.534523
2001-01-02 00:00:00 PST,1.06905,0.534523
2001-01-02 01:00:00 PST,0.872591,0.436296
2001-01-02 02:00:00 PST,0.872591,0.436296
2001-01-02 03:00:00 PST,0.872591,0.436296
2001-01-02 04:00:00 PST,0.676136,0.338068
2001-01-02 05:00:00 PST,0.024481,0.0122405
2001-01-02 06:00:00 PST,0.535432,0.267716
2001-01-02 07:00:00 PST,0.872591,0.436296
2001-01-02 08:00:00 PST,0.872591,0.436296
2001-01-02 09:00:00 PST,0.872591,0.436296
2001-01-02 10:00:00 PST,1.06905,0.534523
2001-01-02 11:00:00 PST,1.06905,0.534523
2001-01-02 12:00:00 PST,1.06905,0.534523
2001-01-02 13:00:00 PST,0.872591,0.436296
2001-01-02 14:00:00 PST,0.872591,0.436296
2001-01-02 15:00:00 PST,0.872591,0.436296
2001-01-02 16:00:00 PST,0.872591,0.436296
2001-01-02 17:00:00 PST,0.872591,0.436296
2001-01-02 18:00:00 PST,0.872591,0.436296
2001-01-02 19:00:00 PST,0.872591,0.436296
2001-01-02 20:00:00 PST,0.872591,0.436296
2001-01-02 21:00:00 PST,0.872591,0.436296
2001-01-02 22:00:00 PST,1.06905,0.534523
2001-01-02 23:00:00 PST,1.06905,0.534523
2001-01-03 00:00:00 PST,0.0247234,0.0123617
2001-01-03 01:00:00 PST,0.662927,0.331463
2001-01-03 02:00:00 PST,0.0189694,0.00948469
2001-01-03 03:00:00 PST,0.0191572,0.00957859
2001-01-03 04:00:00 PST,0.0191572,0.00957859
2001-01-03 05:00:00 PST,0.0242386,0.0121193
2001-01-03 06:00:00 PST,0.501497,0.250749
2001-01-03 07:00:00 PST,0.872591,0.436296
2001-01-03 08:00:00 PST,0.872591,0.436296
2001-01-03 09:00:00 PST,0.872591,0.436296
2001-01-03 10:00:00 PST,1.06905,0.534523
2001-01-03 11:00:00 PST,1.06905,0.534523
2001-01-03 12:00:00 PST,1.06905,0.534523
2001-01-03 13:00:00 PST,0.872591,0.436296
2001-01-03 14:00:00 PST,0.872591,0.436296
2001-01-03 15:00:00 PST,0.872591,0.436296
2001-01-03 16:00:00 PST,0.872591,0.436296
2001-01-03 17:00:00 PST,0.872591,0.436296
2001-01-03 18:00:00 PST,0.872591,0.436296
2001-01-03 19:00:00 PST,0.872591,0.436296
2001-01-03 20:00:00 PST,0.872591,0.436296
2001-01-03 21:00:00 PST,0.872591,0.436296
2001-01-03 22:00:00 PST,1.06905,0.534523
2001-01-03 23:00:00 PST,1.06905,0.534523
2001-01-04 00:00:00 PST,0.024481,0.0122405
2001-01-04 01:00:00 PST,0.60839,0.304195
2001-01-04 02:00:00 PST,0.0187816,0.00939078
2001-01-04 03:00:00 PST,0.225003,0.112502
2001-01-04 04:00:00 PST,0.676136,0.338068
2001-01-04 05:00:00 PST,0.676136,0.338068
2001-01-04 06:00:00 PST,0.676136,0.338068
2001-01-04 07:00:00 PST,0.872591,0.436296
2001-01-04 08:00:00 PST,0.872591,0.436296
2001-01-04 09:00:00 PST,0.872591,0.436296
2001-01-04 10:00:00 PST,1.06905,0.534523
2001-01-04 11:00:00 PST,1.06905,0.534523
2001-01-04 12:00:00 PST,1.06905,0.534523
2001-01-04 13:00:00 PST,0.872591,0.436296
2001-01-04 14:00:00 PST,0.872591,0.436296
2001-01-04 15:00:00 PST,0.872591,0.436296
2001-01-04 16:00:00 PST,0.872591,0.436296
2001-01-04 17:00:00 PST,0.872591,0.436296
2001-01-04 18:00:00 PST,0.872591,0.436296
2001-01-04 19:00:00 PST,0.872591,0.436296
2001-01-04 20:00:00 PST,0.872591,0.436296
2001-01-04 21:00:00 PST,0.872591,0.436296
2001-01-04 22:00:00 PST,1.06905,0.534523
