# file...... voltage_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:32:10 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213607d,+7149.22-0.275257d,+123.204-0.248711d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:15 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213608d,+7149.22-0.275257d,+123.204-0.248711d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:20 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213608d,+7149.22-0.275257d,+123.204-0.248711d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:25 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213608d,+7149.22-0.275257d,+123.204-0.248711d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:30 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213608d,+7149.22-0.275257d,+123.204-0.248712d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:35 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213608d,+7149.22-0.275258d,+123.204-0.248712d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:40 PDT,-1,+7216-0.000143894d,+7171.18-0.000144017d,+7155.5-0.177871d,+7153.44-0.213608d,+7149.22-0.275258d,+123.204-0.248712d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:45 PDT,-1,+7216-0.000143894d,+7171.18-0.000144018d,+7155.5-0.177872d,+7153.44-0.213608d,+7149.22-0.275258d,+123.204-0.248712d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:50 PDT,-1,+7216-0.000143894d,+7171.18-0.000144018d,+7155.5-0.177872d,+7153.44-0.213608d,+7149.22-0.275258d,+123.204-0.248712d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:32:55 PDT,-1,+7216-0.000143894d,+7171.18-0.000144018d,+7155.5-0.177872d,+7153.44-0.213608d,+7149.22-0.275258d,+123.204-0.248712d,+123.197-0.235801d,+123.127-0.300488d
2009-08-08 04:33:00 PDT,-1,+7216-0.000143876d,+7171.18-0.000143999d,+7155.51-0.177841d,+7153.44-0.213578d,+7149.22-0.275227d,+123.204-0.248662d,+123.197-0.235771d,+123.127-0.300458d
