# file...... house_temperatures.csv
# date...... Thu Jun 23 14:49:41 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m2_house:air_temperature, b1m3_house:air_temperature, b2m1_house:air_temperature, b2m2_house:air_temperature, b2m3_house:air_temperature
2009-08-08 05:20:00 PDT,+74.1092,+73.0989,+72.8353,+72.4067,+73.6136,+73.7413
2009-08-08 05:21:00 PDT,+74.1473,+73.135,+72.8581,+72.4315,+73.6302,+73.7621
2009-08-08 05:22:00 PDT,+74.1858,+73.1718,+72.8812,+72.4567,+73.6469,+73.7833
2009-08-08 05:23:00 PDT,+74.2247,+73.2094,+72.9048,+72.4823,+73.664,+73.8048
2009-08-08 05:24:00 PDT,+74.2641,+73.2477,+72.9287,+72.5083,+73.6812,+73.8266
2009-08-08 05:25:00 PDT,+74.3039,+73.2868,+72.9531,+72.5347,+73.6987,+73.8488
2009-08-08 05:26:00 PDT,+74.3441,+73.3265,+72.9778,+72.5615,+73.7163,+73.8712
2009-08-08 05:27:00 PDT,+74.3847,+73.367,+73.0029,+72.5887,+73.7343,+73.894
2009-08-08 05:28:00 PDT,+74.4257,+73.4081,+73.0284,+72.6163,+73.7524,+73.9171
2009-08-08 05:29:00 PDT,+74.4672,+73.45,+73.0542,+72.6444,+73.7707,+73.9405
2009-08-08 05:30:00 PDT,+74.509,+73.4926,+73.0805,+72.6728,+73.7893,+73.9643
2009-08-08 05:31:00 PDT,+74.5513,+73.5358,+73.1071,+72.7016,+73.8081,+73.9883
2009-08-08 05:32:00 PDT,+74.594,+73.5798,+73.1341,+72.7309,+73.827,+73.6067
2009-08-08 05:33:00 PDT,+74.637,+73.6244,+73.1615,+72.7605,+73.8462,+72.937
2009-08-08 05:34:00 PDT,+74.6805,+73.6697,+73.1892,+72.7905,+73.8656,+72.7745
2009-08-08 05:35:00 PDT,+74.7244,+73.7157,+73.2173,+72.821,+73.8852,+72.9836
2009-08-08 05:36:00 PDT,+74.7686,+73.7624,+73.2458,+72.8518,+73.905,+73.1592
2009-08-08 05:37:00 PDT,+74.8133,+73.8097,+73.2747,+72.883,+73.9251,+73.3077
2009-08-08 05:38:00 PDT,+74.8584,+73.8577,+73.3039,+72.9146,+73.9453,+73.434
2009-08-08 05:39:00 PDT,+74.9038,+73.9064,+73.3334,+72.9466,+73.9657,+73.5423
2009-08-08 05:40:00 PDT,+74.9496,+73.9557,+73.3634,+72.979,+73.9864,+73.636
2009-08-08 05:41:00 PDT,+74.9958,+74.0057,+73.3937,+73.0119,+74.0072,+73.7178
