# file...... underground_line_losses.csv
# date...... Tue Aug  2 12:44:14 2016
# user...... hard312
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 60
# limit..... 0
# property.. timestamp,sum(power_losses_A.real), std(power_losses_A.real)
2009-01-01 00:50:00 PST,+3895.54,+1530.31
2009-01-01 00:51:00 PST,+3657.56,+1436.83
2009-01-01 00:52:00 PST,+4064.39,+1596.64
2009-01-01 00:53:00 PST,+3950.61,+1551.94
2009-01-01 00:54:00 PST,+4011.15,+1575.73
2009-01-01 00:55:00 PST,+3489.36,+1370.75
2009-01-01 00:56:00 PST,+3512.56,+1379.86
2009-01-01 00:57:00 PST,+3759.95,+1477.05
2009-01-01 00:58:00 PST,+3861.22,+1516.83
2009-01-01 00:59:00 PST,+4136.48,+1624.96
2009-01-01 01:00:00 PST,+4136.48,+1624.96
2009-01-01 01:01:00 PST,+4136.48,+1624.96
2009-01-01 01:02:00 PST,+4136.48,+1624.96
2009-01-01 01:03:00 PST,+4136.48,+1624.96
2009-01-01 01:04:00 PST,+4136.48,+1624.96
2009-01-01 01:05:00 PST,+4136.48,+1624.96
2009-01-01 01:06:00 PST,+4136.48,+1624.96
2009-01-01 01:07:00 PST,+4136.48,+1624.96
2009-01-01 01:08:00 PST,+4136.48,+1624.96
2009-01-01 01:09:00 PST,+4136.48,+1624.96
2009-01-01 01:10:00 PST,+4136.48,+1624.96
2009-01-01 01:11:00 PST,+4136.48,+1624.96
2009-01-01 01:12:00 PST,+4136.48,+1624.96
2009-01-01 01:13:00 PST,+4136.48,+1624.96
2009-01-01 01:14:00 PST,+4136.48,+1624.96
2009-01-01 01:15:00 PST,+4136.48,+1624.96
2009-01-01 01:16:00 PST,+4136.48,+1624.96
2009-01-01 01:17:00 PST,+4136.48,+1624.96
2009-01-01 01:18:00 PST,+4136.48,+1624.96
2009-01-01 01:19:00 PST,+4136.48,+1624.96
2009-01-01 01:20:00 PST,+4136.48,+1624.96
2009-01-01 01:21:00 PST,+4136.48,+1624.96
2009-01-01 01:22:00 PST,+4136.48,+1624.96
2009-01-01 01:23:00 PST,+4136.48,+1624.96
2009-01-01 01:24:00 PST,+4136.48,+1624.96
2009-01-01 01:25:00 PST,+4136.48,+1624.96
2009-01-01 01:26:00 PST,+4136.48,+1624.96
2009-01-01 01:27:00 PST,+4136.48,+1624.96
2009-01-01 01:28:00 PST,+4136.48,+1624.96
2009-01-01 01:29:00 PST,+4136.48,+1624.96
2009-01-01 01:30:00 PST,+4136.48,+1624.96
2009-01-01 01:31:00 PST,+4136.48,+1624.96
2009-01-01 01:32:00 PST,+4136.48,+1624.96
2009-01-01 01:33:00 PST,+4136.48,+1624.96
2009-01-01 01:34:00 PST,+4136.48,+1624.96
2009-01-01 01:35:00 PST,+4136.48,+1624.96
2009-01-01 01:36:00 PST,+4136.48,+1624.96
2009-01-01 01:37:00 PST,+4136.48,+1624.96
