# file...... branch_2_meters.csv
# date...... Tue Aug  2 12:44:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_2_meter_1:measured_voltage_A, branch_2_meter_1:measured_current_A, branch_2_meter_1:measured_power_A, branch_2_meter_2:measured_voltage_A, branch_2_meter_2:measured_current_A, branch_2_meter_2:measured_power_A, branch_2_meter_3:measured_voltage_A, branch_2_meter_3:measured_current_A, branch_2_meter_3:measured_power_A
2009-01-01 00:25:00 PST,+7645.18-0.0440287d,+42.7626-16.6788j,+350915+21.2634d,+7572.49-0.166906d,+42.7626-16.6788j,+347578+21.1405d,+7502.85-0.528732d,+10.818-12.0958j,+121754+47.663d
2009-01-01 00:26:00 PST,+7477.69-0.0459952d,+43.7386-17.0742j,+351101+21.2782d,+7403.34-0.174414d,+43.7386-17.0742j,+347609+21.1498d,+7332.07-0.553128d,+11.0647-12.3822j,+121754+47.663d
2009-01-01 00:27:00 PST,+7413.65-0.0467819d,+44.1238-17.2306j,+351175+21.2842d,+7338.63-0.177419d,+44.1238-17.2306j,+347622+21.1535d,+7266.72-0.562908d,+11.1621-12.4955j,+121754+47.663d
2009-01-01 00:28:00 PST,+7645.34-0.0440268d,+42.7617-16.6784j,+350914+21.2634d,+7572.65-0.166899d,+42.7617-16.6784j,+347578+21.1405d,+7503.01-0.528709d,+10.8178-12.0955j,+121754+47.663d
2009-01-01 00:29:00 PST,+7592.09-0.0446381d,+43.0671-16.8021j,+350972+21.268d,+7518.89-0.169232d,+43.0671-16.8021j,+347588+21.1434d,+7448.74-0.536285d,+10.895-12.1851j,+121754+47.663d
2009-01-01 00:30:00 PST,+7886.19-0.0414117d,+41.4328-16.1416j,+350668+21.2437d,+7815.78-0.156922d,+41.4328-16.1416j,+347537+21.1282d,+7748.36-0.496376d,+10.4819-11.7066j,+121754+47.663d
2009-01-01 00:31:00 PST,+7778.96-0.0425466d,+42.014-16.3762j,+350775+21.2522d,+7707.55-0.16125d,+42.014-16.3762j,+347555+21.1335d,+7639.16-0.510392d,+10.6288-11.8765j,+121754+47.663d
2009-01-01 00:32:00 PST,+7454.64-0.0462761d,+43.8765-17.1302j,+351127+21.2803d,+7380.04-0.175487d,+43.8765-17.1302j,+347614+21.1511d,+7308.54-0.556619d,+11.0996-12.4228j,+121754+47.663d
2009-01-01 00:33:00 PST,+7829.47-0.0420063d,+41.7382-16.2648j,+350724+21.2482d,+7758.54-0.159189d,+41.7382-16.2648j,+347546+21.131d,+7690.61-0.503717d,+10.5591-11.7959j,+121754+47.663d
2009-01-01 00:34:00 PST,+7378.16-0.0472265d,+44.3402-17.3185j,+351218+21.2875d,+7302.78-0.179118d,+44.3402-17.3185j,+347629+21.1556d,+7230.5-0.568439d,+11.2168-12.5592j,+121754+47.663d
