# file...... IEEE_13_house_passiveDR_transformer_power.csv
# date...... Tue Nov 16 13:13:55 2010
# user...... D3P313
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-08-01 00:00:00 PDT,+184320,-148719,+200972,-149336,+136674,-151883,+184316,-148744,+200968,-149364,+136671,-151902,+3.70701,+24.6851
2000-08-01 00:01:00 PDT,+184192,-148724,+198959,-147486,+135316,-149977,+184189,-148749,+198955,-147513,+135314,-149995,+3.70402,+24.6651
2000-08-01 00:02:00 PDT,+183160,-148791,+197139,-145610,+134959,-149977,+183156,-148815,+197135,-145636,+134956,-149995,+3.6803,+24.507
2000-08-01 00:03:00 PDT,+182923,-148799,+196841,-145625,+134705,-149984,+182919,-148823,+196837,-145651,+134702,-150002,+3.67472,+24.4698
2000-08-01 00:04:00 PDT,+182699,-148805,+186599,-146349,+139170,-149612,+182695,-148830,+186595,-146374,+139167,-149631,+3.66944,+24.4346
2000-08-01 00:05:00 PDT,+178888,-47298.2,+186545,+2380.46,+134784,+1640.47,+178885,-47313.2,+186542,+2365.14,+134782,+1632.47,+2.2647,+15.0697
2000-08-01 00:06:00 PDT,+178289,-47190.6,+169030,+1854.51,+130120,+1516.73,+178287,-47205.5,+169028,+1841.93,+130119,+1509.27,+2.24992,+14.9711
2000-08-01 00:07:00 PDT,+164189,-47719.8,+164152,+1842.38,+120824,+1330.73,+164187,-47732.6,+164151,+1830.52,+120823,+1324.31,+1.93452,+12.8685
2000-08-01 00:08:00 PDT,+163888,-47654.8,+159283,+1830.52,+107005,+993.266,+163886,-47667.6,+159282,+1819.35,+107004,+988.223,+1.92759,+12.8223
2000-08-01 00:09:00 PDT,+145330,-48356.6,+158786,+1908.66,+97681.8,+867.445,+145329,-48366.9,+158785,+1897.56,+97681.2,+863.241,+1.55331,+10.3271
2000-08-01 00:10:00 PDT,+131805,-48727.2,+145636,+1557.73,+92840.4,+819.426,+131804,-48735.9,+145635,+1548.39,+92839.9,+815.628,+1.3083,+8.69369
2000-08-01 00:11:00 PDT,+131665,-48664.3,+135808,+1299.99,+88277.3,+732.341,+131664,-48672.9,+135807,+1291.87,+88276.8,+728.907,+1.30546,+8.67471
2000-08-01 00:12:00 PDT,+126841,-48733.3,+121559,+971.926,+83530.8,+667.367,+126840,-48741.5,+121558,+965.419,+83530.3,+664.292,+1.2236,+8.129
2000-08-01 00:13:00 PDT,+126581,-48702.9,+111402,+786.479,+83202,+663.388,+126580,-48711,+111402,+781.013,+83201.5,+660.337,+1.21905,+8.09869
2000-08-01 00:14:00 PDT,+130913,-48549,+110454,+763.119,+82633.3,+636.289,+130911,-48557.6,+110453,+757.746,+82632.9,+633.279,+1.29168,+8.58285
2000-08-01 00:15:00 PDT,+121303,-48902.7,+110461,+771.833,+82145.7,+666.508,+121302,-48910.2,+110460,+766.459,+82145.3,+663.534,+1.13399,+7.53161
2000-08-01 00:16:00 PDT,+121414,-48783.5,+110803,+983.295,+76787.2,+573.36,+121413,-48791,+110802,+977.888,+76786.8,+570.761,+1.135,+7.5383
2000-08-01 00:17:00 PDT,+121444,-48650.9,+110370,+976.617,+76463.1,+567.335,+121443,-48658.4,+110370,+971.251,+76462.7,+564.757,+1.13462,+7.53582
2000-08-01 00:18:00 PDT,+120891,-48780.7,+110082,+944.866,+81030.3,+658.501,+120889,-48788.2,+110081,+939.529,+81029.9,+655.607,+1.12661,+7.4824
2000-08-01 00:19:00 PDT,+120196,-48930.2,+109767,+848.535,+80979.6,+660.595,+120195,-48937.6,+109766,+843.228,+80979.2,+657.704,+1.11652,+7.41515
2000-08-01 00:20:00 PDT,+124581,-48744.4,+109129,+746.118,+80564.4,+633.276,+124580,-48752.3,+109128,+740.873,+80564,+630.415,+1.18617,+7.87949
2000-08-01 00:21:00 PDT,+124651,-48551.8,+108757,+741.574,+80206.7,+717.707,+124650,-48559.7,+108756,+736.364,+80206.3,+714.871,+1.18608,+7.87885
2000-08-01 00:22:00 PDT,+124943,-48359.9,+109023,+1013.73,+81158.5,+1102.49,+124942,-48367.8,+109022,+1008.5,+81158.1,+1099.59,+1.18966,+7.90276
2000-08-01 00:23:00 PDT,+126271,-47828.3,+109225,+1221.8,+77335.8,+1390.77,+126270,-47836.3,+109224,+1216.54,+77335.4,+1388.13,+1.20831,+8.02707
2000-08-01 00:24:00 PDT,+125565,-46667.2,+115472,+2014.59,+77292.4,+1392.68,+125563,-46675.1,+115471,+2008.72,+77292,+1390.05,+1.18932,+7.90048
2000-08-01 00:25:00 PDT,+125017,-46789.5,+116427,+2461.16,+77474.7,+1493.07,+125016,-46797.4,+116426,+2455.19,+77474.3,+1490.43,+1.18102,+7.84516
2000-08-01 00:26:00 PDT,+123867,-47095.5,+115360,+2259.75,+76723.4,+1389.49,+123866,-47103.2,+115359,+2253.89,+76723,+1386.89,+1.16403,+7.73188
2000-08-01 00:27:00 PDT,+122764,-47344.8,+119192,+2128.8,+75598.8,+1099.75,+122763,-47352.4,+119191,+2122.54,+75598.4,+1097.23,+1.14762,+7.62249
2000-08-01 00:28:00 PDT,+114446,-48479.7,+117779,+1818.02,+75493.7,+1132.27,+114445,-48486.5,+117778,+1811.91,+75493.3,+1129.76,+1.02458,+6.80217
2000-08-01 00:29:00 PDT,+112478,-49001.5,+116815,+1614.23,+74883.3,+1036.68,+112477,-49008.1,+116814,+1608.22,+74882.9,+1034.21,+0.998456,+6.62804
2000-08-01 00:30:00 PDT,+116533,-48835.9,+115859,+1417.98,+73502.9,+628.886,+116532,-48843,+115858,+1412.06,+73502.5,+626.504,+1.05868,+7.02955
2000-08-01 00:31:00 PDT,+116335,-48860.5,+119628,+1424.69,+73598.5,+724.163,+116334,-48867.5,+119627,+1418.39,+73598.1,+721.774,+1.05579,+7.01028
2000-08-01 00:32:00 PDT,+115639,-48843.9,+119108,+1326.45,+72974.5,+623.104,+115637,-48850.9,+119107,+1320.2,+72974.2,+620.756,+1.04503,+6.93852
2000-08-01 00:33:00 PDT,+115366,-48857.1,+117937,+1082.3,+77255.4,+597.123,+115365,-48864,+117936,+1076.17,+77255,+594.491,+1.04096,+6.91138
2000-08-01 00:34:00 PDT,+114104,-49095.2,+113425,+879.806,+76994.8,+597.626,+114103,-49102,+113424,+874.14,+76994.4,+595.012,+1.02338,+6.79422
2000-08-01 00:35:00 PDT,+113508,-49113.4,+113221,+877.198,+76750.6,+595.353,+113507,-49120.1,+113220,+871.552,+76750.2,+592.756,+1.01454,+6.73529
2000-08-01 00:36:00 PDT,+113720,-49017.9,+117522,+933.752,+76750.3,+593.005,+113719,-49024.7,+117521,+927.67,+76749.9,+590.408,+1.01711,+6.75241
2000-08-01 00:37:00 PDT,+113350,-49006.9,+113178,+919.717,+76664,+684.404,+113349,-49013.6,+113177,+914.076,+76663.6,+681.813,+1.01149,+6.71491
2000-08-01 00:38:00 PDT,+112585,-49030.4,+112974,+916.95,+76663.9,+687.28,+112584,-49037,+112973,+911.329,+76663.5,+684.689,+1.00024,+6.63991
2000-08-01 00:39:00 PDT,+108155,-48916.3,+112790,+1006.28,+77051.4,+896.942,+108154,-48922.5,+112789,+1000.68,+77051,+894.324,+0.934957,+6.20471
2000-08-01 00:40:00 PDT,+108097,-48922.2,+117074,+1215.29,+72981.4,+1107.96,+108096,-48928.4,+117073,+1209.26,+72981,+1105.61,+0.934166,+6.19944
2000-08-01 00:41:00 PDT,+107401,-49026,+113288,+1475.64,+71976.8,+820.178,+107400,-49032.2,+113287,+1469.98,+71976.4,+817.893,+0.924945,+6.13797
2000-08-01 00:42:00 PDT,+107565,-48930.5,+110514,+2101.34,+71474.9,+722.156,+107564,-48936.6,+110514,+2095.96,+71474.6,+719.903,+0.926656,+6.14938
2000-08-01 00:43:00 PDT,+107876,-48840.5,+113643,+1847.36,+71307.1,+717.685,+107875,-48846.7,+113642,+1841.67,+71306.7,+715.442,+0.930494,+6.17496
2000-08-01 00:44:00 PDT,+107126,-48938.7,+110922,+1059.56,+70719.1,+614.539,+107125,-48944.8,+110921,+1054.14,+70718.7,+612.333,+0.920485,+6.10823
2000-08-01 00:45:00 PDT,+107031,-48924.5,+107622,+1341.5,+70690.9,+614.329,+107030,-48930.6,+107621,+1336.4,+70690.6,+612.125,+0.919045,+6.09863
2000-08-01 00:46:00 PDT,+111683,-48705.6,+107029,+1319.32,+71326.1,+798.638,+111682,-48712.1,+107028,+1314.28,+71325.8,+796.394,+0.984793,+6.53695
2000-08-01 00:47:00 PDT,+112326,-48499.1,+106782,+1314.64,+71326.3,+796.068,+112325,-48505.7,+106782,+1309.62,+71326,+793.825,+0.992977,+6.59151
2000-08-01 00:48:00 PDT,+111412,-48749.2,+107356,+1512.18,+70582.7,+605.256,+111411,-48755.7,+107356,+1507.1,+70582.4,+603.059,+0.981081,+6.5122
2000-08-01 00:49:00 PDT,+113177,-48159.7,+106896,+1411.35,+71511.9,+920.681,+113176,-48166.4,+106895,+1406.31,+71511.5,+918.425,+1.00348,+6.6615
2000-08-01 00:50:00 PDT,+113682,-47934,+102100,+1248.96,+71754.3,+1075.01,+113681,-47940.7,+102099,+1244.37,+71753.9,+1072.74,+1.00961,+6.70238
2000-08-01 00:51:00 PDT,+112686,-48124.7,+102347,+1344.03,+72077.2,+1206.66,+112685,-48131.3,+102346,+1339.41,+72076.8,+1204.37,+0.995937,+6.61125
